Determiner,Pronoun_Male,Pronoun_Female,Technical_Word,Relationship_And_Personal_Life,Preposition,Common_Word_Count,Gender
88,0,4,24,48,154,73,1
121,15,3,22,35,154,85,1
34,1,1,47,29,153,52,1
100,12,3,26,43,155,88,1
102,14,2,29,32,125,89,1
118,7,0,22,39,144,74,1
107,0,0,31,44,154,79,1
53,0,0,34,15,104,41,1
154,0,1,29,29,276,79,1
58,20,13,15,42,131,75,1
60,0,0,88,19,112,42,1
83,1,3,13,35,138,79,1
97,6,10,12,35,151,85,1
72,0,0,5,1,169,20,1
130,12,0,23,37,151,81,1
64,0,0,42,34,142,63,1
161,22,6,22,51,231,94,1
128,23,6,30,47,154,87,1
120,1,0,25,30,194,77,1
43,0,0,7,28,186,49,1
62,1,2,9,26,94,68,1
168,13,7,25,41,249,102,1
109,4,0,32,23,162,75,1
74,1,1,31,35,146,79,1
103,6,4,28,40,218,93,1
64,0,0,7,30,142,51,1
84,1,1,15,25,131,76,1
131,1,3,23,52,178,85,1
114,6,6,25,27,184,84,1
63,1,1,20,35,89,67,1
103,8,4,33,26,152,96,1
141,0,1,33,32,144,85,1
115,10,1,37,42,165,83,1
86,0,0,27,41,147,71,1
42,0,0,39,43,157,48,1
104,7,1,25,32,148,77,1
153,11,5,26,44,196,94,1
60,16,2,32,32,199,88,1
149,9,1,20,48,187,86,1
147,11,4,30,34,214,86,1
118,4,3,24,40,188,96,1
121,8,1,30,40,144,91,1
111,0,2,31,32,151,81,1
119,0,0,36,47,136,74,1
103,3,4,35,29,130,82,1
111,3,2,23,34,183,84,1
92,15,0,26,47,121,79,1
55,0,3,16,23,87,61,1
119,6,19,23,42,176,94,1
128,6,3,42,45,178,95,1
143,6,3,33,42,182,93,1
72,0,0,26,18,125,63,1
75,0,0,28,37,137,63,1
126,4,0,17,35,246,74,1
146,2,1,41,39,227,94,1
89,6,5,29,32,155,78,1
146,13,3,47,35,168,87,1
73,7,3,32,46,126,79,1
109,11,0,27,30,161,90,1
96,1,0,39,44,155,75,1
163,12,1,29,46,215,92,1
102,3,2,31,34,158,91,1
165,7,2,38,47,201,96,1
93,0,0,40,42,181,75,1
119,5,0,46,37,217,89,1
114,1,3,25,38,147,90,1
88,5,0,14,34,107,74,1
84,8,12,25,41,151,88,1
123,4,0,38,43,238,96,1
91,0,0,26,24,127,77,1
96,1,3,16,24,210,68,1
58,1,3,22,27,121,70,1
163,6,7,39,37,188,87,1
91,6,6,27,23,123,76,1
98,2,4,44,26,124,86,1
80,4,1,43,34,182,88,1
124,6,0,23,45,140,84,1
120,1,5,43,32,230,84,1
115,0,0,54,29,186,90,1
151,5,3,28,34,194,83,1
53,0,0,61,30,224,19,1
111,0,0,45,29,149,85,1
105,0,0,37,43,149,86,1
64,2,4,13,40,92,83,1
51,0,0,27,26,185,64,1
64,1,2,11,11,111,65,1
90,6,1,21,32,116,77,1
59,4,0,14,28,149,74,1
75,2,2,34,24,94,72,1
90,0,3,34,31,133,78,1
139,3,0,52,35,199,99,1
99,2,0,22,35,133,74,1
147,2,2,29,78,205,86,1
107,6,2,15,37,186,87,1
138,0,0,29,8,338,46,1
118,4,0,62,26,177,82,1
94,0,1,68,82,112,66,1
103,4,4,27,32,144,89,1
98,14,1,32,53,153,90,1
130,1,4,37,49,203,92,1
106,6,5,14,33,112,82,1
112,4,2,27,29,132,86,1
119,2,1,28,29,170,80,1
72,9,3,21,27,117,75,1
110,10,7,25,46,133,87,1
24,1,5,14,28,180,71,1
138,5,2,56,50,207,93,1
65,0,0,10,22,166,58,1
54,6,1,10,37,115,76,1
70,2,1,29,31,140,81,1
106,1,4,24,29,123,88,1
129,9,5,41,50,179,89,1
64,2,0,13,27,74,83,1
148,0,0,38,49,210,77,1
159,3,7,24,60,261,95,1
117,4,1,32,47,133,82,1
108,2,11,20,57,142,81,1
64,3,3,12,30,249,71,1
85,2,1,15,18,103,72,1
100,8,2,28,54,144,87,1
60,1,0,33,56,252,80,1
34,1,2,25,23,138,55,1
125,0,0,32,23,153,80,1
87,4,0,25,30,281,83,1
152,1,1,40,40,205,81,1
82,1,2,17,29,125,60,1
54,0,0,100,2,95,13,1
117,8,0,30,24,143,81,1
91,3,4,23,38,143,86,1
91,33,0,11,35,143,79,1
4,0,0,2,2,6,13,1
96,0,1,48,20,175,88,1
139,5,0,38,48,171,91,1
137,2,1,41,48,190,96,1
106,7,3,28,55,194,88,1
135,3,2,27,41,182,80,1
158,0,0,58,39,263,90,1
75,1,1,18,50,154,76,1
135,3,5,28,33,216,90,1
131,5,1,38,39,177,90,1
87,0,0,11,15,156,71,1
118,9,2,32,33,132,83,1
119,22,1,33,43,168,90,1
2,0,0,0,1,99,12,1
102,1,0,21,35,178,84,1
116,1,1,19,48,186,67,1
63,1,0,23,41,121,63,1
49,0,3,14,22,56,64,1
180,1,6,52,57,236,89,1
51,0,0,30,11,146,53,1
155,3,0,45,54,184,89,1
50,0,0,40,42,146,53,1
122,25,9,35,40,167,91,1
60,0,2,22,24,66,67,1
91,6,1,32,18,128,78,1
84,5,0,25,52,247,80,1
113,10,2,20,25,165,90,1
103,1,2,29,23,154,79,1
94,14,1,15,39,124,83,1
118,8,2,28,45,200,89,1
70,0,5,14,30,147,51,1
84,6,1,16,30,119,84,1
100,4,3,25,42,167,86,1
73,0,0,22,50,180,55,1
144,3,0,37,58,221,90,1
104,6,0,27,30,160,91,1
73,1,0,45,21,240,79,1
114,15,9,31,36,136,84,1
135,1,1,46,77,226,91,1
85,1,1,23,43,155,72,1
80,12,0,26,24,112,83,1
48,0,0,56,22,143,44,1
118,18,0,26,27,136,83,1
100,1,0,30,56,159,74,1
96,29,4,23,36,132,87,1
135,26,3,29,36,167,92,1
132,5,4,33,31,166,94,1
117,10,0,37,52,164,89,1
112,1,0,15,33,174,75,1
109,2,0,39,39,150,81,1
127,6,0,35,34,132,83,1
124,23,2,15,25,161,82,1
166,7,0,51,54,199,92,1
9,0,0,24,29,24,32,1
123,3,0,32,17,142,77,1
130,5,3,16,43,220,71,1
146,0,0,54,47,182,90,1
48,3,2,16,23,145,54,1
73,1,4,10,30,99,78,1
137,3,1,40,43,178,85,1
28,4,0,11,19,102,70,1
91,29,0,35,28,140,88,1
160,16,0,35,35,221,94,1
87,1,1,16,24,131,61,1
83,4,0,16,32,121,81,1
134,5,2,23,42,188,85,1
81,5,4,19,31,107,78,1
91,0,1,56,35,147,81,1
92,1,1,29,28,134,85,1
151,0,0,45,34,228,77,1
106,2,1,32,48,180,92,1
94,0,2,48,32,160,82,1
126,0,0,47,25,151,85,1
84,4,2,29,24,160,79,1
117,4,0,32,42,143,81,1
58,0,2,25,14,139,53,1
68,0,0,12,28,156,62,1
121,21,0,23,46,168,84,1
135,8,2,45,38,151,86,1
100,5,5,19,35,180,82,1
143,9,1,19,54,161,89,1
87,0,0,23,25,155,81,1
67,0,0,49,32,152,65,1
106,1,1,41,62,158,88,1
144,13,0,33,46,272,87,1
138,2,2,29,48,191,102,1
126,9,3,40,50,188,91,1
85,4,1,19,30,162,76,1
82,0,0,38,53,198,82,1
91,5,0,24,25,127,76,1
147,8,0,44,54,162,83,1
62,1,1,21,24,114,71,1
150,19,5,32,44,199,93,1
32,3,2,15,33,192,61,1
92,2,2,16,28,116,72,1
85,1,0,27,26,145,85,1
134,39,0,28,37,180,86,1
52,0,0,37,15,116,42,1
101,2,7,22,55,142,92,1
88,3,0,22,47,153,86,1
111,8,4,37,35,131,88,1
72,2,1,33,29,118,53,1
86,2,0,26,36,156,82,1
188,5,3,45,35,239,100,1
90,0,0,15,23,145,54,1
125,4,11,37,62,177,92,1
83,0,1,38,33,143,70,1
91,3,0,40,37,190,89,1
135,8,11,35,42,210,89,1
31,0,0,31,17,148,47,1
116,3,4,21,42,126,82,1
130,2,1,35,37,178,88,1
128,1,0,9,18,153,77,1
56,0,12,10,26,195,57,1
89,6,5,22,25,75,70,1
63,0,0,9,22,105,66,1
105,0,0,16,47,197,78,1
50,3,6,16,29,124,68,1
107,5,0,32,40,216,79,1
63,0,1,16,51,137,63,1
67,3,0,18,28,128,72,1
133,13,3,33,50,219,95,1
101,0,1,37,32,153,74,1
92,0,0,21,15,150,65,1
50,0,0,38,14,110,43,1
90,4,3,25,32,152,85,1
107,1,0,27,34,167,86,1
97,5,1,25,21,128,81,1
163,22,2,34,44,153,91,1
144,0,0,31,25,192,84,1
103,2,1,32,55,139,87,1
85,1,3,36,27,166,100,1
167,2,4,47,37,229,92,1
98,4,0,31,26,143,80,1
157,2,0,36,36,229,86,1
64,4,0,21,25,94,78,1
133,0,0,46,33,212,85,1
120,9,5,14,27,151,87,1
28,0,0,18,28,160,57,1
41,0,0,67,68,191,50,1
113,12,3,22,36,188,88,0
69,1,0,49,24,131,70,0
104,9,3,28,66,156,87,0
96,4,4,42,47,173,92,0
136,3,2,55,35,186,89,0
133,3,2,40,32,173,92,0
143,0,1,18,53,162,72,0
110,14,2,20,47,153,78,0
69,6,1,20,32,204,78,0
74,2,2,38,36,163,80,0
92,3,10,24,45,110,73,0
100,0,2,35,20,102,72,0
87,0,0,9,31,286,68,0
43,23,4,29,27,85,76,0
115,1,3,29,46,213,90,0
125,10,20,33,61,251,95,0
150,0,1,32,29,180,70,0
96,2,1,36,34,188,82,0
137,0,0,19,50,165,68,0
47,2,2,11,55,82,67,0
43,0,0,18,42,77,59,0
130,21,6,30,26,148,94,0
96,0,7,1,55,189,44,0
111,0,3,30,47,140,83,0
71,2,5,18,37,132,82,0
120,16,5,36,31,159,94,0
58,6,2,14,38,105,81,0
48,1,0,12,41,139,64,0
79,1,0,24,29,167,66,0
76,5,3,11,27,126,77,0
78,1,15,25,36,75,78,0
104,0,3,27,47,149,78,0
106,6,2,14,29,178,77,0
76,0,0,16,40,129,63,0
58,0,0,6,26,97,39,0
112,0,1,31,31,187,92,0
211,27,19,31,36,216,98,0
94,0,1,36,38,145,79,0
71,1,0,10,47,197,70,0
81,5,6,24,41,145,91,0
97,0,0,18,23,183,74,0
40,12,1,24,22,66,64,0
45,0,1,19,46,102,72,0
109,4,2,36,39,186,85,0
87,4,3,26,32,179,68,0
69,1,3,38,39,186,71,0
51,0,0,33,46,200,55,0
82,4,1,29,32,115,83,0
154,0,9,29,92,187,70,0
80,2,3,14,23,112,79,0
147,8,1,23,51,145,93,0
89,8,7,14,56,124,84,0
102,5,8,18,49,157,91,0
80,1,0,19,37,172,74,0
70,3,3,19,25,113,75,0
109,5,4,28,48,189,87,0
104,2,4,37,44,138,83,0
70,0,1,9,53,123,76,0
82,4,1,41,37,118,84,0
93,1,1,38,29,167,79,0
124,8,6,39,37,156,84,0
103,0,5,38,29,212,73,0
127,40,3,40,47,162,93,0
102,8,7,33,61,143,78,0
102,2,1,32,38,171,86,0
8,0,0,97,93,104,29,0
124,0,0,35,37,207,82,0
102,2,3,15,33,149,81,0
89,2,1,34,47,182,78,0
84,0,0,68,29,218,78,0
106,2,3,33,25,132,82,0
143,2,4,51,40,209,90,0
74,2,2,11,47,225,70,0
135,1,0,18,52,192,74,0
91,7,6,44,41,147,88,0
86,0,6,19,46,142,71,0
129,27,9,18,40,158,90,0
80,3,2,20,42,146,86,0
92,0,3,19,35,122,77,0
57,1,8,22,39,102,81,0
78,8,2,28,46,143,87,0
70,3,0,18,32,123,72,0
142,3,15,44,43,218,93,0
